id,date,calories,steps,distance,sedentary_minutes,lightly_active_minutes,fairly_active_minutes,very_active_minutes
1,2015-11-04,2917,8520,6.33,662,191,43,24
1,2015-11-05,2851,8116,6.03,827,228,37,8
1,2015-11-06,2820,8268,6.14,776,145,75,22
1,2015-11-07,3690,14489,10.77,525,280,52,68
1,2015-11-08,3067,9212,6.84,508,198,27,53
1,2015-11-09,2828,9500,7.06,756,218,28,13
1,2015-11-10,3336,11151,8.29,705,198,40,79
1,2015-11-11,2867,12351,9.18,981,181,66,24
1,2015-11-12,2847,10670,7.93,684,162,17,61
1,2015-11-13,2460,5574,4.14,1209,156,8,16
1,2015-11-14,3445,11587,8.61,608,159,41,103
1,2015-11-15,2853,9499,7.06,738,167,28,44
1,2015-11-16,3590,13788,10.53,978,282,31,61
1,2015-11-17,3792,18361,13.72,543,366,73,42
1,2015-11-18,3222,14055,10.44,673,268,53,27
1,2015-11-19,3092,11927,8.86,726,305,21,37
1,2015-11-20,3395,15221,11.31,464,316,40,58
1,2015-11-21,2802,8568,6.42,1174,249,3,14
1,2015-11-22,2177,3284,2.44,1269,98,3,8
1,2015-11-23,3035,9408,6.99,682,295,31,14
1,2015-11-24,2843,10261,7.62,1182,210,2,46
1,2015-11-25,2829,8218,6.11,1142,155,50,22
1,2015-11-26,3076,9760,7.25,1130,214,61,30
1,2015-11-27,3242,10769,8,725,222,60,42
1,2015-11-28,3254,11671,8.7,643,375,7,15
1,2015-11-29,3247,14444,10.73,618,258,39,51
1,2015-11-30,4011.9999999999995,23313,17.32,550,389,67,75
1,2015-12-01,3232,16810,12.49,750,152,9,97
1,2015-12-02,3125,10745,8.01,634,174,48,62
1,2015-12-03,3165,10784,8.04,774,201,25,68
1,2015-12-04,2835,10740,8.08,1100,146,39,52
1,2015-12-05,2872,8531,6.36,723,325,0,0
1,2015-12-06,3072,12738,9.46,811,244,45,35
1,2015-12-07,3107,13520,10.07,672,261,13,50
1,2015-12-08,3801,15884,11.83,962,248,25,123
1,2015-12-09,3062,10026,7.45,803,204,29,38
1,2015-12-10,3044,11868,8.84,1190,170,26,54
1,2015-12-11,3082,12381,9.22,1096,212,30,52
1,2015-12-12,2766,7157,5.32,605,290,0,0
1,2015-12-13,2787,7055,5.24,690,248,19,6
1,2015-12-14,2831,9348,6.99,827,179,22,42
1,2015-12-15,2711,8566,6.39,898,137,28,33
1,2015-12-16,2714,9786,7.27,1118,159,29,28
1,2015-12-17,2709,8371,6.22,1069,146,31,24
1,2015-12-18,2917,9428,7.01,1141,220,43,21
1,2015-12-19,3110,13742,10.21,579,357,15,22
1,2015-12-20,3391,15636,11.73,550,316,56,23
1,2015-12-21,3145,12778,9.49,664,313,42,6
1,2015-12-22,2636,7378,5.48,838,176,33,12
1,2015-12-23,1789,0,0,1440,0,0,0
1,2015-12-24,2573,6452,4.79,1217,223,0,0
1,2015-12-25,2808,7837,5.82,663,332,0,0
1,2015-12-26,2626,6504,4.83,588,282,0,0
1,2015-12-27,2604,6444,4.84,746,252,0,0
1,2015-12-28,2845,7845,5.83,686,337,0,0
1,2015-12-29,3135,12260,9.11,636,375,3,26
1,2015-12-30,3050,12154,9.05,617,276,6,45
1,2015-12-31,2856,7801,5.8,577,362,0,0
1,2016-01-01,2992,10460,7.92,685,375,0,0
1,2016-01-02,3265,13837,10.33,601,339,15,36
1,2016-01-03,3090,12517,9.3,1034,272,9,49
1,2016-01-04,3116,10366,7.7,650,235,53,30
1,2016-01-05,3241,12127,9.13,682,284,47,28
1,2016-01-06,2992,11327,8.42,613,314,5,32
1,2016-01-07,3146,11098,8.25,720,247,53,30
1,2016-01-08,3174,12395,9.23,567,405,7,8
1,2016-01-09,2615,6643,4.94,676,283,0,0
1,2016-01-10,2711,8846,6.57,1167,183,36,29
1,2016-01-11,3013,9642,7.16,758,247,44,24
1,2016-01-12,2993,9982,7.42,839,222,30,26
1,2016-01-13,2627,6613,4.91,857,205,13,3
1,2016-01-14,3128,12161,9.21,719,198,34,60
1,2016-01-15,3361,14837,11.37,687,210,58,71
1,2016-01-16,3379,16759,12.59,589,333,23,59
1,2016-01-17,2878,9602,7.26,547,279,4,15
1,2016-01-18,2144,3761,2.79,998,99,5,3
1,2016-01-19,2543,7456,5.6,1215,103,22,35
1,2016-01-20,3472,16755,12.78,551,331,24,51
1,2016-01-21,3218,11937,8.96,699,254,57,32
1,2016-01-22,3426,14577,10.96,519,391,34,22
1,2016-01-23,3615,17541,13.12,570,358,50,45
1,2016-01-25,2420,6610,4.91,1270,93,24,26
1,2016-01-26,3066,13073,9.71,790,166,52,61
1,2016-01-27,2886,9997,7.46,759,164,52,28
1,2016-01-28,3092,10707,7.96,753,262,57,18
1,2016-01-29,2931,9952,7.39,760,233,30,26
1,2016-01-30,3034,9774,7.26,519,357,16,2
1,2016-01-31,2787,6260,4.65,671,298,0,0
1,2016-02-01,2986,11426,8.52,911,192,48,43
1,2016-02-02,2974,10466,7.78,802,152,48,48
1,2016-02-03,3199,12866,9.63,767,271,45,28
1,2016-02-04,2037,2449,1.87,821,80,0,0
1,2016-02-05,3110,10434,7.75,718,243,42,29
1,2016-02-06,3177,12578,9.4,563,388,10,11
1,2016-02-07,3182,15373,11.7,599,273,10,62
1,2016-02-08,3206,12327,9.24,699,278,28,30
1,2016-02-09,2872,10457,7.82,847,181,15,41
1,2016-02-10,2662,9900,7.43,1237,156,6,41
1,2016-02-11,2899,8966,6.66,802,235,21,20
1,2016-02-12,2816,8353,6.21,732,219,17,26
1,2016-02-13,3235,13907,10.36,551,357,15,15
1,2016-02-14,3289,14183,10.54,617,374,45,12
1,2016-02-15,2751,8453,6.28,1304,124,8,4
1,2016-02-16,2927,7995,5.98,802,231,34,16
1,2016-02-17,2783,6707,4.98,913,174,36,19
1,2016-02-18,2804,8109,6.1,1212,143,42,33
1,2016-02-19,2815,11971,9.23,865,179,3,51
1,2016-02-20,2960,11371,8.45,457,327,14,19
1,2016-02-21,2037.9999999999998,2190,1.63,954,93,0,0
1,2016-02-22,2594,6592,4.93,1234,155,23,14
1,2016-02-23,2841,8624,6.41,739,193,36,25
1,2016-02-24,2933,8307,6.17,762,195,25,37
1,2016-02-25,2816,7941,5.9,878,142,47,32
1,2016-02-26,2764,8050.000000000001,5.98,1203,177,40,20
1,2016-02-27,3029,9923,7.37,1124,184,25,44
1,2016-02-28,2844,9504,7.15,687,283,10,1
1,2016-02-29,2612,6847,5.09,731,206,20,1
1,2016-03-01,3117,11618,8.66,776,217,59,29
1,2016-03-02,2897,10450,7.76,765,199,35,26
1,2016-03-03,2864,11478,8.69,749,167,5,45
1,2016-03-04,2996,10650,7.97,754,227,31,30
1,2016-03-05,2228,3103,2.31,1042,155,0,0
1,2016-03-06,2660,6960,5.2,1105,280,0,0
1,2016-03-07,3220,16699,13.4,791,158,9,97
1,2016-03-08,3083,14068,11.26,824,167,8,65
1,2016-03-09,3339,18092,14.05,1120,243,8,69
1,2016-03-10,3307,18530,14.71,793,162,21,100
1,2016-03-11,3135,14587,10.86,1012.9999999999999,313,14,38
1,2016-03-12,2840,9992,7.45,685,339,0,13
1,2016-03-13,1790,0,0,1440,0,0,0
1,2016-03-14,2538,9336,7.4,1288,73,4,50
1,2016-03-15,3133,15596,12.61,782,187,3,77
1,2016-03-16,3960,25385,20.45,638,254,17,124
1,2016-03-17,3150,14577,11.46,823,162,10,81
1,2016-03-18,3214,16667,13.08,832,173,9,90
1,2016-03-19,3870,13361,9.93,530,418,38,50
1,2016-03-20,2731,6754,5.02,564,315,0,0
1,2016-03-21,2464,5424,4.03,1047,193,7,2
1,2016-03-22,3555,17913,13.41,593,382,22,55
1,2016-03-23,3063,14324,10.89,669,222,10,59
1,2016-03-24,2503,8048.999999999999,6.03,1090,123,3,24
1,2016-03-25,3052,11122,8.29,599,386,9,0
1,2016-03-26,3021,9570,7.11,879,395,0,0
1,2016-03-27,2223,4667,3.47,889,114,20,2
1,2016-03-28,1790,0,0,1440,0,0,0
1,2016-03-29,2648,9781,7.34,1230,139,6,39
1,2016-03-30,3768,21383,16.69,641,384,23,57
1,2016-03-31,3512,20109,15.18,629,302,35,63
1,2016-04-01,2814,11130,8.61,900,162,3,54
1,2016-04-02,2884,8250,6.13,950,314,7,1
1,2016-04-03,2931,8682,6.45,669,355,0,0
1,2016-04-04,3314,17535,13.66,881,168,8,102
1,2016-04-05,3830,20154,15.05,445,471,28,45
1,2016-04-06,4112,23286,17.84,561,451,28,67
1,2016-04-07,3048,13004,9.87,856,214,3,58
1,2016-04-08,3241,13441,10.04,449,439,0,0
1,2016-04-09,3038,10216,7.59,535,390,0,0
1,2016-04-10,2304,5634,4.19,921,92,41,4
1,2016-04-11,3419,17422,13.38,674,290,14,61
1,2016-04-12,3179,14475,10.92,664,291,10,47
1,2016-04-13,3427,17777,13.66,696,276,10,80
1,2016-04-14,3479,19087,14.65,711,221,12,96
1,2016-04-15,3501,16290,12.2,467,427,25,11
1,2016-04-16,3342,14252,10.64,675,323,60,18
1,2016-04-17,2769,8262,6.14,1089,302,0,0
1,2016-04-18,3486,19450,15.06,860,190,6,98
1,2016-04-19,3596,17232,13.61,1002,262,4,88
1,2016-04-20,3321,16946,12.93,762,238,5,67
1,2016-04-21,3464,19183,14.67,723,218,7,97
1,2016-04-22,3328,12963,9.66,404,436,14,10
1,2016-04-23,2612,6456,4.8,782,305,0,0
1,2016-04-24,2863,10413,7.73,700,269,28,24
1,2016-04-25,3175,10499,7.8,661,430,9,4
1,2016-04-26,3357,17226,12.97,751,185,16,95
1,2016-04-27,3631,19784,15.51,694,151,26,128
1,2016-04-28,4030.0000000000005,25571,19.3,606,293,42,129
1,2016-04-29,3442,17528,13.36,594,239,8,82
1,2016-04-30,3061,9831,7.3,561,414,0,0
1,2016-05-01,3331,14262,10.6,666,361,21,41
1,2016-05-02,2989,13236,9.98,770,234,8,38
1,2016-05-03,3796,18588,14.13,599,275,49,79
1,2016-05-04,3525,16382.000000000002,12.39,684,333,10,55
1,2016-05-05,3649,21913,16.4,701,287,29,90
1,2016-05-06,3539,19023,14.79,575,298,8,85
1,2016-05-07,3040,9526,7.08,564,370,13,10
